chunk_id,subsection_key,vector_index,token_count,max_seq_length,exceeds_encoder_limit,char_count
1,"000::Ear, Nose and Throat: The Official Handbook for Medical Students and Junior Doctors",0,104,512,False,358
2,001::Authors and Editors,1,48,512,False,202
3,002::Contents,2,562,512,True,1859
4,002::Contents,3,167,512,False,581
5,003::Introduction,4,3,512,False,12
6,004::Preface,5,212,512,False,1068
7,004::Preface,6,138,512,False,553
8,005::Foreword,7,278,512,False,1370
9,005::Foreword,8,32,512,False,105
10,"006::A Career in Ear, Nose and Throat Surgery",9,75,512,False,331
11,"006::A Career in Ear, Nose and Throat Surgery",10,142,512,False,665
12,007::Further Information,11,198,512,False,614
13,008::Generic Skills in ENT,12,7,512,False,21
14,009::General ENT History,13,49,512,False,251
15,009::General ENT History,14,319,512,False,1525
16,010::Ear examination,15,338,512,False,1451
17,010::Ear examination,16,385,512,False,1662
18,010::Ear examination,17,668,512,True,2732
19,010::Ear examination,18,68,512,False,257
20,011::Nasal Examination,19,792,512,True,3560
21,011::Nasal Examination,20,167,512,False,718
22,011::Nasal Examination,21,48,512,False,196
23,011::Nasal Examination,22,190,512,False,794
24,012::Neck and thyroid status exam,23,455,512,False,1984
25,012::Neck and thyroid status exam,24,65,512,False,305
26,012::Neck and thyroid status exam,25,351,512,False,1285
27,012::Neck and thyroid status exam,26,17,512,False,61
28,013::Cranial Nerves Examination,27,20,512,False,102
29,013::Cranial Nerves Examination,28,412,512,False,1755
30,013::Cranial Nerves Examination,29,290,512,False,1106
31,014::Otology,30,4,512,False,7
32,015::Ear Anatomy,31,413,512,False,1544
33,015::Ear Anatomy,32,645,512,True,2644
34,015::Ear Anatomy,33,56,512,False,185
35,015::Ear Anatomy,34,176,512,False,784
36,016::Dizziness and Vertigo,35,458,512,False,2138
37,016::Dizziness and Vertigo,36,8,512,False,47
38,016::Dizziness and Vertigo,37,379,512,False,1719
39,017::Hearing Loss,38,433,512,False,1684
40,017::Hearing Loss,39,16,512,False,62
41,017::Hearing Loss,40,305,512,False,1360
