subsection_key,header_id,hierarchy,title,page_number,char_count,image_marker_count,table_marker_count
"000::Ear, Nose and Throat: The Official Handbook for Medical Students and Junior Doctors",0,1,"Ear, Nose and Throat: The Official Handbook for Medical Students and Junior Doctors",2,358,0,0
001::Authors and Editors,1,1,Authors and Editors,3,202,0,0
002::Contents,2,1,Contents,4,2441,0,0
003::Introduction,3,1,Introduction,8,12,0,0
004::Preface,4,2,Preface,9,1622,0,0
005::Foreword,5,2,Foreword,10,1477,0,0
"006::A Career in Ear, Nose and Throat Surgery",6,2,"A Career in Ear, Nose and Throat Surgery",11,997,0,0
007::Further Information,7,2,Further Information,12,614,0,0
008::Generic Skills in ENT,8,1,Generic Skills in ENT,13,21,0,0
009::General ENT History,9,2,General ENT History,14,1777,0,0
010::Ear examination,10,2,Ear examination,16,6161,5,1
011::Nasal Examination,11,2,Nasal Examination,23,5399,13,0
012::Neck and thyroid status exam,12,2,Neck and thyroid status exam,34,3669,3,0
013::Cranial Nerves Examination,13,2,Cranial Nerves Examination,39,2965,0,0
014::Otology,14,1,Otology,42,7,0,0
015::Ear Anatomy,15,2,Ear Anatomy,43,5232,7,0
016::Dizziness and Vertigo,16,2,Dizziness and Vertigo,50,3918,0,1
017::Hearing Loss,17,2,Hearing Loss,53,3142,0,3
018::Tinnitus,18,2,Tinnitus,56,3427,0,0
019::Facial Nerve Palsy,19,2,Facial Nerve Palsy,59,2640,0,2
020::Otalgia,20,2,Otalgia,62,2364,0,2
021::Otorrhoea,21,2,Otorrhoea,64,2217,0,1
022::Otitis Externa,22,2,Otitis Externa,66,2597,1,0
023::Acute Otitis Media,23,2,Acute Otitis Media,69,2243,1,0
024::Otitis Media with Effusion (OME),24,2,Otitis Media with Effusion (OME),72,2255,1,0
025::Chronic Otitis Media,25,2,Chronic Otitis Media,75,1691,1,0
026::Cholesteatoma,26,2,Cholesteatoma,77,2826,1,0
027::Rhinology,27,1,Rhinology,80,9,0,0
028::Nasal Function and Anatomy,28,2,Nasal Function and Anatomy,81,7969,6,0
029::Nasal obstruction,29,2,Nasal obstruction,89,1184,0,0
030::Fractured Nose,30,3,Fractured Nose,90,2186,2,0
031::Septoplasty/Septorhinoplasty,31,3,Septoplasty/Septorhinoplasty,93,963,0,0
032::Rhinitis and Rhinosinusitis,32,2,Rhinitis and Rhinosinusitis,94,604,0,0
033::Allergic Rhinitis,33,3,Allergic Rhinitis,95,3791,2,0
034::Non-Allergic Rhinitis,34,3,Non-Allergic Rhinitis,99,1502,0,0
035::Acute Rhinosinusitis (ARS),35,3,Acute Rhinosinusitis (ARS),101,7031,3,0
036::Nasal Polyps,36,3,Nasal Polyps,109,2067,1,0
037::Other Sinonasal Lesions,37,2,Other Sinonasal Lesions,111,2339,3,0
038::Cleft Lip and Palate,38,2,Cleft Lip and Palate,114,1781,1,0
039::Head and Neck,39,1,Head and Neck,116,13,0,0
040::Head and Neck Anatomy,40,2,Head and Neck Anatomy,117,336,0,0
041::Facial Muscles,41,3,Facial Muscles,118,1815,0,0
042::The Major Salivary Glands,42,3,The Major Salivary Glands,120,683,0,0
043::Oral Cavity,43,3,Oral Cavity,121,2643,1,1
044::Topography of the Neck,44,3,Topography of the Neck,124,2038,1,1
045::Fascial Layers of the Neck,45,3,Fascial Layers of the Neck,126,908,3,0
046::Nervous Supply of the Head and Neck,46,3,Nervous Supply of the Head and Neck,128,4139,0,0
047::Physiology of Swallowing,47,2,Physiology of Swallowing,133,1144,1,0
048::Taking History of a Neck Lump,48,2,Taking History of a Neck Lump,135,1498,0,0
049::Causes of Neck Lump,49,2,Causes of Neck Lump,137,746,0,1
050::Branchial Cysts,50,2,Branchial Cysts,138,490,0,0
051::Dysphagia,51,2,Dysphagia,139,1534,0,0
052::Dysphonia,52,2,Dysphonia,141,1106,0,0
053::Tonsillitis,53,2,Tonsillitis,142,2899,2,0
