model_name,architecture_config,metric_label,mean,std,n
Llama 3.2 1B,SLM,Response Alignment,0.8731,0.0481,250
Llama 3.2 1B,SLM,Response Mean,0.8419,0.0436,250
Llama 3.2 1B,SLM,Response Resemblance,0.8108,0.0629,250
Llama 3.2 1B,Text-RAG,Response Alignment,0.8531,0.0772,250
Llama 3.2 1B,Text-RAG,Response Mean,0.8312,0.0644,250
Llama 3.2 1B,Text-RAG,Response Resemblance,0.8093,0.0752,250
Llama 3.2 3B,SLM,Response Alignment,0.8723,0.0457,250
Llama 3.2 3B,SLM,Response Mean,0.8462,0.0418,250
Llama 3.2 3B,SLM,Response Resemblance,0.82,0.0628,250
Llama 3.2 3B,Text-RAG,Response Alignment,0.8666,0.0528,250
Llama 3.2 3B,Text-RAG,Response Mean,0.8515,0.0439,250
Llama 3.2 3B,Text-RAG,Response Resemblance,0.8363,0.0627,250
