model_name,architecture_config,metric_label,mean,std,n
Llama 3.2 1B,SLM,Response Alignment,0.8717,0.0437,111
Llama 3.2 1B,SLM,Response Mean,0.8364,0.0393,111
Llama 3.2 1B,SLM,Response Resemblance,0.801,0.0624,111
Llama 3.2 1B,Text-RAG,Response Alignment,0.8576,0.0736,111
Llama 3.2 1B,Text-RAG,Response Mean,0.8292,0.0615,111
Llama 3.2 1B,Text-RAG,Response Resemblance,0.8007,0.075,111
Llama 3.2 1B,Image-Text-RAG,Response Alignment,0.8579,0.0718,111
Llama 3.2 1B,Image-Text-RAG,Response Mean,0.8326,0.0575,111
Llama 3.2 1B,Image-Text-RAG,Response Resemblance,0.8073,0.0697,111
Llama 3.2 1B,Image-RAG,Response Alignment,0.8639,0.0573,111
Llama 3.2 1B,Image-RAG,Response Mean,0.8365,0.0467,111
Llama 3.2 1B,Image-RAG,Response Resemblance,0.8091,0.0636,111
Llama 3.2 3B,SLM,Response Alignment,0.8722,0.0442,111
Llama 3.2 3B,SLM,Response Mean,0.8407,0.0406,111
Llama 3.2 3B,SLM,Response Resemblance,0.8093,0.0609,111
Llama 3.2 3B,Text-RAG,Response Alignment,0.8671,0.0522,111
Llama 3.2 3B,Text-RAG,Response Mean,0.8471,0.0412,111
Llama 3.2 3B,Text-RAG,Response Resemblance,0.8271,0.0614,111
Llama 3.2 3B,Image-Text-RAG,Response Alignment,0.8701,0.0505,111
Llama 3.2 3B,Image-Text-RAG,Response Mean,0.8518,0.0391,111
Llama 3.2 3B,Image-Text-RAG,Response Resemblance,0.8335,0.0625,111
Llama 3.2 3B,Image-RAG,Response Alignment,0.8652,0.0498,111
Llama 3.2 3B,Image-RAG,Response Mean,0.8475,0.0405,111
Llama 3.2 3B,Image-RAG,Response Resemblance,0.8299,0.0591,111
